world_name	gc_name	gc_level	gc_exp	ranking	guild_name	grade	class_name
戴摩爾克04	oxox	91	4708264247718447	1	子彈起飛	24	咒文刻印使
戴摩爾克04	少洋	91	4475235337411059	2	子彈起飛	24	野蠻鬥士
戴摩爾克04	虎爺馬丁尼	91	4300801096482042	3	子彈起飛	25	野蠻鬥士
戴摩爾克04	戰酒黑金龍	90	3496014176535122	4	子彈起飛	24	野蠻鬥士
戴摩爾克04	喬巴巴	90	3125552917770361	5	雪山小鴨鴨	25	野蠻鬥士
戴摩爾克04	媽祖一杯Shot	90	3083570518159802	6	子彈起飛	25	香射手
戴摩爾克04	夜魔殺神波本	90	2917902949079605	7	子彈起飛	24	香射手
戴摩爾克04	o關公龍舌蘭o	89	2180791865034671	8	子彈起飛	25	咒文刻印使
戴摩爾克04	稻荷神大吟釀	89	2007185244304866	9	子彈起飛	23	咒文刻印使
戴摩爾克04	伏羲荔枝烏龍	88	1472789342441190	10	子彈起飛	24	野蠻鬥士
戴摩爾克04	帝釋天沙士	88	1205116180291330	11	子彈起飛	25	咒文刻印使
戴摩爾克04	聖王公雞尾酒	88	1147849614096748	12	子彈起飛	24	執行官
戴摩爾克04	波賽燉紅酒	88	1118725486878583	13	子彈起飛	22	幻影劍士
戴摩爾克04	彌勒伏特加	88	1011723869622298	14	子彈起飛	24	太陽監視者
戴摩爾克04	女媧蜜桃烏龍	87	792861139230041	15	子彈起飛	23	咒文刻印使
戴摩爾克04	在下毛毛雨	87	767934791799113	16	雪山小鴨鴨	22	執行官
戴摩爾克04	伊邪那岐生命之水	87	764945374890702	17	子彈起飛	23	香射手
戴摩爾克04	註生娘娘艾碧斯	87	755801039449953	18	子彈起飛	23	幻影劍士
戴摩爾克04	OliSe	87	720867257151850	19	雪山小鴨鴨	22	咒文刻印使
戴摩爾克04	魯夫夫	87	688868582005860	20	雪山小鴨鴨	23	深淵放逐者
戴摩爾克04	薩玻	87	670960972276239	21	雪山小鴨鴨	22	幻影劍士
戴摩爾克04	艾歐基麥康	86	531919972618755	22	雪山小鴨鴨	21	野蠻鬥士
戴摩爾克04	睡神喝冰奶渡劫	86	461252245784924	23	子彈起飛	21	咒文刻印使
戴摩爾克04	鷗報送	86	433329217289324	24	雪山小鴨鴨	22	執行官
戴摩爾克04	討厭黑眼圈	86	425124309729431	25	雪山小鴨鴨	23	咒文刻印使
戴摩爾克04	三太子米粥	86	422609602971217	26	子彈起飛	22	幻影劍士
戴摩爾克04	即期餅乾	86	418742848162220	27	雪山小鴨鴨	20	太陽監視者
戴摩爾克04	雪寶	86	412289969357414	28	雪山小鴨鴨	21	執行官
戴摩爾克04	小咻咻	86	397695940979576	29	雪山小鴨鴨	20	香射手
戴摩爾克04	蕭郎威士忌	86	397000324348481	30	子彈起飛	21	野蠻鬥士
戴摩爾克04	oOxOo	85	383466837470907	31	子彈起飛	21	香射手
戴摩爾克04	武藤遊戲	85	354445352301915	32	雪山小鴨鴨	21	野蠻鬥士
戴摩爾克04	三太子大摩二十年	85	340626391047142	33	子彈起飛	20	香射手
戴摩爾克04	巧克力髒髒包	85	331047336445298	34	雪山小鴨鴨	20	咒文刻印使
戴摩爾克04	喬莉婭	85	319146685959461	35	雪山小鴨鴨	20	咒文刻印使
戴摩爾克04	波妮妮o	85	285192538360574	36	雪山小鴨鴨	19	咒文刻印使
戴摩爾克04	阿波羅比菲多	85	257687529022451	37	雪落夜無聲	19	深淵放逐者
戴摩爾克04	焦糖烤布蕾	84	241279773727441	38	雪山小鴨鴨	19	咒文刻印使
戴摩爾克04	父皇	84	232195118665478	39	雪山小鴨鴨	21	執行官
戴摩爾克04	御嶽沖繩泡盛	84	213738040914566	40	子彈起飛	20	咒文刻印使
戴摩爾克04	保生大帝烏龍綠	84	190401529117439	41	子彈起飛	20	咒文刻印使
戴摩爾克04	月老茅台	84	161934201306292	42	子彈起飛	21	咒文刻印使
戴摩爾克04	夜貓	83	156393916589109	43	雪山小鴨鴨	19	咒文刻印使
戴摩爾克04	君子不器	83	156309135477360	44	春風如酒	19	執行官
戴摩爾克04	孟婆桃姬	83	150475045818858	45	子彈起飛	21	香射手
戴摩爾克04	虎爺子汁	83	141133172995344	46	子彈起飛	19	咒文刻印使
戴摩爾克04	微微	83	140143239568626	47		19	咒文刻印使
戴摩爾克04	財神小米粥	83	132724570462643	48	船過水無痕	19	咒文刻印使
戴摩爾克04	超級無敵可愛小西咪	83	118383770226201	49		18	太陽監視者
戴摩爾克04	望月	83	117173013409289	50	熾夏	18	香射手
戴摩爾克04	蒼雪雲月	83	108029566720156	51	雪山小鴨鴨	18	咒文刻印使
戴摩爾克04	薯餅	83	105110536983731	52	雪山小鴨鴨	18	咒文刻印使
戴摩爾克04	我為逝者哀哭	82	90685043211249	53		18	太陽監視者
戴摩爾克04	李茶仁	82	90518071722028	54	雪山小鴨鴨	19	深淵放逐者
戴摩爾克04	海鹽焦糖烤布蕾	82	89234013775274	55	雪山小鴨鴨	18	執行官
戴摩爾克04	灶神糯米粥	82	85827136437487	56	船過水無痕	18	咒文刻印使
